,agent1
ep1,1.0
ep2,1.0
ep3,1.0
ep4,1.0
ep5,1.0
ep6,1.0
ep7,1.0
ep8,1.0
ep9,1.0
ep10,1.0
ep11,1.0
ep12,1.0
ep13,1.0
ep14,1.0
ep15,1.0
ep16,1.0
ep17,1.0
ep18,1.0
ep19,1.0
ep20,1.0
ep21,1.0
ep22,1.0
ep23,1.0
ep24,1.0
ep25,1.0
ep26,1.0
ep27,1.0
ep28,1.0
ep29,1.0
ep30,1.0
ep31,1.0
ep32,1.0
ep33,1.0
ep34,1.0
ep35,1.0
ep36,1.0
ep37,1.0
ep38,1.0
ep39,1.0
ep40,1.0
ep41,1.0
ep42,1.0
ep43,1.0
ep44,1.0
ep45,1.0
ep46,1.0
ep47,1.0
ep48,1.0
ep49,1.0
ep50,1.0
ep51,1.0
ep52,1.0
ep53,1.0
ep54,1.0
ep55,1.0
ep56,1.0
ep57,1.0
ep58,1.0
ep59,1.0
ep60,1.0
ep61,1.0
ep62,1.0
ep63,1.0
ep64,1.0
ep65,1.0
ep66,1.0
ep67,1.0
ep68,1.0
ep69,1.0
ep70,1.0
ep71,1.0
ep72,1.0
ep73,1.0
ep74,1.0
ep75,1.0
ep76,1.0
ep77,1.0
ep78,1.0
ep79,1.0
ep80,1.0
ep81,1.0
ep82,1.0
ep83,1.0
ep84,1.0
ep85,1.0
ep86,1.0
ep87,1.0
ep88,1.0
ep89,1.0
ep90,1.0
ep91,1.0
ep92,1.0
ep93,1.0
ep94,1.0
ep95,1.0
ep96,1.0
ep97,1.0
ep98,1.0
ep99,1.0
ep100,1.0
ep101,1.0
ep102,1.0
ep103,1.0
ep104,1.0
ep105,1.0
ep106,1.0
ep107,1.0
ep108,1.0
ep109,1.0
ep110,1.0
ep111,1.0
ep112,1.0
ep113,1.0
ep114,1.0
ep115,1.0
ep116,1.0
ep117,1.0
ep118,1.0
ep119,1.0
ep120,1.0
ep121,1.0
ep122,1.0
ep123,1.0
ep124,1.0
ep125,1.0
ep126,1.0
ep127,1.0
ep128,1.0
ep129,1.0
ep130,1.0
ep131,1.0
ep132,1.0
ep133,1.0
ep134,1.0
ep135,1.0
ep136,1.0
ep137,1.0
ep138,1.0
ep139,1.0
ep140,1.0
ep141,1.0
ep142,1.0
ep143,1.0
ep144,1.0
ep145,1.0
ep146,1.0
ep147,1.0
ep148,1.0
ep149,1.0
ep150,1.0
ep151,1.0
ep152,1.0
ep153,1.0
ep154,1.0
ep155,1.0
ep156,1.0
ep157,1.0
ep158,1.0
ep159,1.0
ep160,1.0
ep161,1.0
ep162,1.0
ep163,1.0
ep164,1.0
ep165,1.0
ep166,1.0
ep167,1.0
ep168,1.0
ep169,1.0
ep170,1.0
ep171,1.0
ep172,1.0
ep173,1.0
ep174,1.0
ep175,1.0
ep176,1.0
ep177,1.0
ep178,1.0
ep179,1.0
ep180,1.0
ep181,1.0
ep182,1.0
ep183,1.0
ep184,1.0
ep185,1.0
ep186,1.0
ep187,1.0
ep188,1.0
ep189,1.0
ep190,1.0
ep191,1.0
ep192,1.0
ep193,1.0
ep194,1.0
ep195,1.0
ep196,1.0
ep197,1.0
ep198,1.0
ep199,1.0
ep200,1.0
ep201,1.0
ep202,1.0
ep203,1.0
ep204,1.0
ep205,1.0
ep206,1.0
ep207,1.0
ep208,1.0
ep209,1.0
ep210,1.0
ep211,1.0
ep212,1.0
ep213,1.0
ep214,1.0
ep215,1.0
ep216,1.0
ep217,1.0
ep218,1.0
ep219,1.0
ep220,1.0
ep221,1.0
ep222,1.0
ep223,1.0
ep224,1.0
ep225,1.0
ep226,1.0
ep227,1.0
ep228,1.0
ep229,1.0
ep230,1.0
ep231,1.0
ep232,1.0
ep233,1.0
ep234,1.0
ep235,1.0
ep236,1.0
ep237,1.0
ep238,1.0
ep239,1.0
ep240,1.0
ep241,1.0
ep242,1.0
ep243,1.0
ep244,1.0
ep245,1.0
ep246,1.0
ep247,1.0
ep248,1.0
ep249,1.0
ep250,1.0
ep251,1.0
ep252,1.0
ep253,1.0
ep254,1.0
ep255,1.0
ep256,1.0
ep257,1.0
ep258,1.0
ep259,1.0
ep260,1.0
ep261,1.0
ep262,1.0
ep263,1.0
ep264,1.0
ep265,1.0
ep266,1.0
ep267,1.0
ep268,1.0
ep269,1.0
ep270,1.0
ep271,1.0
ep272,1.0
ep273,1.0
ep274,1.0
ep275,1.0
ep276,1.0
ep277,1.0
ep278,1.0
ep279,1.0
ep280,1.0
ep281,1.0
ep282,1.0
ep283,1.0
ep284,1.0
ep285,1.0
ep286,1.0
ep287,1.0
ep288,1.0
ep289,1.0
ep290,1.0
ep291,1.0
ep292,1.0
ep293,1.0
ep294,1.0
ep295,1.0
ep296,1.0
ep297,1.0
ep298,1.0
ep299,1.0
ep300,1.0
ep301,1.0
ep302,1.0
ep303,1.0
ep304,1.0
ep305,1.0
ep306,1.0
ep307,1.0
ep308,1.0
ep309,1.0
ep310,1.0
ep311,1.0
ep312,1.0
ep313,1.0
ep314,1.0
ep315,1.0
ep316,1.0
ep317,1.0
ep318,1.0
ep319,1.0
ep320,1.0
ep321,1.0
ep322,1.0
ep323,1.0
ep324,1.0
ep325,1.0
ep326,1.0
ep327,1.0
ep328,1.0
ep329,1.0
ep330,1.0
ep331,1.0
ep332,1.0
ep333,1.0
ep334,1.0
ep335,1.0
ep336,1.0
ep337,1.0
ep338,1.0
ep339,1.0
ep340,1.0
ep341,1.0
ep342,1.0
ep343,1.0
ep344,1.0
ep345,1.0
ep346,1.0
ep347,1.0
ep348,1.0
ep349,1.0
ep350,1.0
ep351,1.0
ep352,1.0
ep353,1.0
ep354,1.0
ep355,1.0
ep356,1.0
ep357,1.0
ep358,1.0
ep359,1.0
ep360,1.0
ep361,1.0
ep362,1.0
ep363,1.0
ep364,1.0
ep365,1.0
ep366,1.0
ep367,1.0
ep368,1.0
ep369,1.0
ep370,1.0
ep371,1.0
ep372,1.0
ep373,1.0
ep374,1.0
ep375,1.0
ep376,1.0
ep377,1.0
ep378,1.0
ep379,1.0
ep380,1.0
ep381,1.0
ep382,1.0
ep383,1.0
ep384,1.0
ep385,1.0
ep386,1.0
ep387,1.0
ep388,1.0
ep389,1.0
ep390,1.0
ep391,1.0
ep392,1.0
ep393,1.0
ep394,1.0
ep395,1.0
ep396,1.0
ep397,1.0
ep398,1.0
ep399,1.0
ep400,1.0
ep401,1.0
ep402,1.0
ep403,1.0
ep404,1.0
ep405,1.0
ep406,1.0
ep407,1.0
ep408,1.0
ep409,1.0
ep410,1.0
ep411,1.0
ep412,1.0
ep413,1.0
ep414,1.0
ep415,1.0
ep416,1.0
