,agent1,agent2,agent3,agent4,agent5,agent6,agent7,agent8,agent9,agent10,agent11,agent12,agent13,agent14,agent15,agent16,agent17,agent18,agent19,agent20,agent21,agent22,agent23,agent24,agent25,agent26,agent27,agent28,agent29,agent30,agent31,agent32,agent33,agent34,agent35,agent36,agent37,agent38,agent39,agent40,agent41,agent42,agent43,agent44,agent45,agent46,agent47,agent48,agent49,agent50
ep67,10.0,5.0,13.0,12.0,7.0,14.0,5.0,13.0,7.0,11.0,9.0,10.0,15.0,12.0,14.0,10.0,10.0,17.0,13.0,5.0,7.0,17.0,5.0,10.0,8.0,10.0,7.0,10.0,9.0,9.0,9.0,9.0,9.0,13.0,6.0,6.0,7.0,19.0,13.0,8.0,17.0,6.0,9.0,9.0,8.0,11.0,8.0,15.0,9.0,6.0
ep68,5.0,14.0,17.0,6.0,8.0,8.0,7.0,10.0,5.0,9.0,8.0,11.0,7.0,7.0,6.0,13.0,10.0,14.0,8.0,7.0,12.0,8.0,8.0,11.0,17.0,6.0,16.0,9.0,10.0,9.0,11.0,5.0,5.0,7.0,5.0,10.0,7.0,11.0,15.0,11.0,9.0,5.0,8.0,5.0,10.0,9.0,7.0,13.0,13.0,9.0
ep69,13.0,10.0,9.0,7.0,7.0,7.0,15.0,11.0,8.0,9.0,11.0,7.0,5.0,10.0,12.0,7.0,12.0,8.0,5.0,8.0,11.0,5.0,17.0,10.0,13.0,15.0,7.0,6.0,11.0,7.0,6.0,8.0,12.0,7.0,7.0,13.0,13.0,9.0,5.0,7.0,13.0,15.0,7.0,8.0,5.0,11.0,9.0,8.0,12.0,14.0
ep70,12.0,7.0,6.0,9.0,15.0,5.0,9.0,11.0,8.0,7.0,8.0,13.0,5.0,5.0,13.0,9.0,12.0,9.0,9.0,17.0,7.0,9.0,11.0,7.0,13.0,10.0,17.0,8.0,13.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,5.0,10.0,11.0,8.0,5.0,11.0,14.0,11.0,9.0,8.0,10.0,10.0,13.0
ep71,6.0,8.0,10.0,8.0,9.0,10.0,9.0,17.0,10.0,14.0,7.0,21.0,9.0,10.0,9.0,10.0,14.0,12.0,11.0,5.0,12.0,7.0,10.0,9.0,13.0,6.0,12.0,5.0,9.0,8.0,9.0,11.0,12.0,11.0,15.0,9.0,9.0,13.0,10.0,7.0,12.0,17.0,8.0,9.0,7.0,18.0,12.0,5.0,10.0,9.0
ep72,9.0,12.0,5.0,14.0,5.0,7.0,12.0,11.0,5.0,11.0,11.0,7.0,15.0,15.0,11.0,8.0,12.0,12.0,16.0,10.0,13.0,13.0,6.0,13.0,12.0,7.0,10.0,9.0,15.0,9.0,10.0,9.0,11.0,12.0,7.0,9.0,8.0,10.0,7.0,10.0,5.0,12.0,13.0,21.0,14.0,8.0,7.0,12.0,5.0,11.0
ep73,9.0,9.0,11.0,9.0,7.0,14.0,9.0,5.0,13.0,16.0,10.0,10.0,6.0,9.0,13.0,11.0,11.0,9.0,10.0,19.0,7.0,11.0,12.0,9.0,9.0,7.0,10.0,10.0,10.0,18.0,9.0,8.0,13.0,15.0,7.0,9.0,14.0,9.0,10.0,17.0,5.0,9.0,14.0,9.0,11.0,7.0,13.0,11.0,11.0,8.0
ep74,12.0,10.0,7.0,11.0,8.0,16.0,15.0,12.0,14.0,12.0,12.0,9.0,5.0,9.0,8.0,11.0,7.0,10.0,10.0,12.0,7.0,11.0,7.0,8.0,12.0,9.0,15.0,10.0,6.0,9.0,7.0,6.0,14.0,11.0,9.0,9.0,7.0,9.0,11.0,5.0,15.0,18.0,7.0,5.0,8.0,14.0,10.0,5.0,16.0,12.0
ep75,11.0,5.0,9.0,10.0,11.0,6.0,10.0,12.0,11.0,9.0,10.0,13.0,14.0,11.0,18.0,8.0,10.0,8.0,9.0,7.0,13.0,10.0,8.0,10.0,11.0,11.0,6.0,7.0,8.0,13.0,6.0,5.0,7.0,7.0,15.0,18.0,20.0,7.0,10.0,5.0,5.0,5.0,15.0,12.0,7.0,11.0,19.0,7.0,13.0,9.0
ep76,12.0,16.0,14.0,11.0,13.0,6.0,13.0,13.0,11.0,9.0,10.0,10.0,15.0,9.0,12.0,17.0,14.0,13.0,8.0,7.0,10.0,14.0,11.0,7.0,10.0,18.0,8.0,12.0,15.0,12.0,13.0,15.0,10.0,8.0,17.0,10.0,6.0,10.0,5.0,13.0,14.0,5.0,16.0,10.0,7.0,8.0,11.0,10.0,17.0,8.0
ep77,17.0,10.0,14.0,14.0,9.0,11.0,5.0,8.0,13.0,10.0,6.0,11.0,9.0,13.0,10.0,6.0,5.0,11.0,13.0,10.0,16.0,9.0,7.0,10.0,6.0,13.0,10.0,7.0,7.0,11.0,13.0,10.0,11.0,12.0,9.0,7.0,14.0,13.0,10.0,9.0,10.0,11.0,9.0,11.0,7.0,5.0,5.0,12.0,9.0,9.0
ep78,9.0,8.0,5.0,11.0,7.0,12.0,11.0,13.0,12.0,7.0,13.0,11.0,5.0,7.0,7.0,7.0,10.0,11.0,16.0,16.0,5.0,6.0,5.0,13.0,12.0,13.0,15.0,8.0,10.0,6.0,12.0,10.0,10.0,17.0,11.0,7.0,6.0,15.0,11.0,11.0,13.0,11.0,8.0,6.0,7.0,7.0,10.0,7.0,10.0,6.0
ep79,5.0,5.0,5.0,13.0,5.0,7.0,6.0,13.0,7.0,13.0,16.0,11.0,18.0,13.0,14.0,9.0,7.0,15.0,11.0,7.0,8.0,9.0,7.0,19.0,16.0,14.0,11.0,9.0,14.0,5.0,10.0,6.0,9.0,5.0,9.0,7.0,7.0,10.0,18.0,13.0,7.0,5.0,14.0,9.0,12.0,12.0,13.0,9.0,10.0,14.0
ep80,8.0,6.0,8.0,8.0,8.0,11.0,9.0,11.0,11.0,13.0,5.0,7.0,11.0,8.0,8.0,16.0,13.0,9.0,17.0,10.0,7.0,5.0,11.0,5.0,8.0,9.0,15.0,11.0,10.0,17.0,18.0,7.0,11.0,11.0,5.0,10.0,9.0,10.0,13.0,15.0,10.0,9.0,9.0,7.0,8.0,9.0,16.0,17.0,5.0,14.0
ep81,5.0,9.0,11.0,9.0,8.0,5.0,7.0,6.0,15.0,5.0,8.0,11.0,8.0,11.0,5.0,7.0,9.0,19.0,19.0,12.0,12.0,14.0,9.0,14.0,5.0,9.0,10.0,9.0,14.0,11.0,12.0,11.0,7.0,8.0,14.0,11.0,12.0,17.0,7.0,12.0,13.0,11.0,8.0,9.0,9.0,10.0,9.0,11.0,9.0,8.0
ep82,7.0,10.0,9.0,11.0,11.0,14.0,10.0,18.0,7.0,9.0,9.0,9.0,5.0,13.0,9.0,13.0,13.0,5.0,7.0,13.0,7.0,14.0,15.0,7.0,12.0,7.0,8.0,9.0,16.0,11.0,11.0,9.0,10.0,11.0,12.0,7.0,6.0,7.0,9.0,12.0,8.0,7.0,13.0,9.0,9.0,12.0,15.0,9.0,8.0,9.0
ep83,13.0,13.0,12.0,11.0,9.0,11.0,5.0,9.0,9.0,6.0,9.0,7.0,7.0,13.0,5.0,9.0,7.0,11.0,7.0,9.0,10.0,9.0,7.0,5.0,11.0,15.0,12.0,8.0,8.0,10.0,10.0,11.0,10.0,14.0,5.0,8.0,5.0,8.0,11.0,7.0,16.0,7.0,9.0,6.0,16.0,11.0,11.0,16.0,9.0,9.0
ep84,7.0,11.0,7.0,15.0,5.0,11.0,5.0,10.0,12.0,5.0,14.0,11.0,11.0,20.0,12.0,16.0,6.0,13.0,12.0,7.0,9.0,17.0,8.0,9.0,11.0,12.0,12.0,16.0,14.0,7.0,10.0,11.0,11.0,9.0,10.0,10.0,14.0,9.0,5.0,12.0,9.0,5.0,18.0,8.0,17.0,10.0,12.0,8.0,12.0,17.0
ep85,5.0,12.0,16.0,11.0,7.0,13.0,11.0,5.0,15.0,14.0,8.0,9.0,11.0,8.0,8.0,19.0,8.0,9.0,9.0,13.0,10.0,9.0,9.0,9.0,14.0,16.0,8.0,13.0,5.0,13.0,12.0,9.0,11.0,5.0,13.0,11.0,9.0,9.0,7.0,15.0,7.0,6.0,12.0,9.0,8.0,18.0,15.0,20.0,7.0,5.0
ep86,21.0,14.0,10.0,12.0,7.0,8.0,13.0,5.0,7.0,8.0,12.0,9.0,12.0,8.0,11.0,14.0,12.0,16.0,8.0,11.0,17.0,18.0,9.0,14.0,5.0,9.0,17.0,5.0,11.0,9.0,15.0,9.0,9.0,11.0,14.0,11.0,12.0,11.0,12.0,11.0,7.0,9.0,13.0,12.0,13.0,8.0,11.0,13.0,5.0,8.0
ep87,6.0,9.0,6.0,14.0,12.0,8.0,7.0,5.0,6.0,17.0,13.0,7.0,7.0,10.0,5.0,9.0,11.0,14.0,13.0,6.0,7.0,7.0,9.0,16.0,11.0,17.0,8.0,14.0,7.0,11.0,9.0,7.0,5.0,11.0,10.0,10.0,7.0,14.0,13.0,5.0,5.0,8.0,7.0,5.0,6.0,10.0,11.0,11.0,7.0,9.0
ep88,10.0,10.0,15.0,16.0,14.0,7.0,9.0,9.0,11.0,13.0,16.0,13.0,8.0,14.0,16.0,10.0,13.0,14.0,10.0,9.0,10.0,10.0,11.0,7.0,9.0,7.0,10.0,12.0,14.0,7.0,14.0,11.0,16.0,8.0,9.0,12.0,5.0,11.0,15.0,12.0,6.0,5.0,12.0,9.0,6.0,8.0,8.0,12.0,9.0,7.0
ep89,8.0,12.0,8.0,12.0,9.0,16.0,7.0,15.0,14.0,8.0,12.0,8.0,11.0,11.0,15.0,7.0,10.0,10.0,14.0,9.0,9.0,10.0,14.0,11.0,7.0,6.0,11.0,7.0,17.0,7.0,5.0,17.0,5.0,13.0,7.0,10.0,7.0,11.0,8.0,12.0,7.0,16.0,20.0,9.0,11.0,5.0,6.0,14.0,8.0,5.0
ep90,7.0,10.0,9.0,16.0,14.0,8.0,8.0,11.0,11.0,12.0,8.0,5.0,14.0,11.0,9.0,12.0,9.0,16.0,6.0,10.0,8.0,11.0,9.0,12.0,9.0,7.0,11.0,11.0,10.0,9.0,12.0,5.0,7.0,6.0,9.0,12.0,17.0,13.0,14.0,9.0,19.0,8.0,11.0,11.0,5.0,13.0,5.0,7.0,10.0,12.0
ep91,16.0,8.0,8.0,9.0,7.0,7.0,9.0,11.0,5.0,8.0,7.0,15.0,13.0,10.0,10.0,6.0,9.0,8.0,14.0,17.0,13.0,5.0,6.0,9.0,8.0,12.0,9.0,13.0,7.0,15.0,9.0,11.0,7.0,5.0,11.0,5.0,15.0,7.0,12.0,8.0,16.0,5.0,10.0,14.0,9.0,9.0,9.0,10.0,8.0,5.0
ep92,6.0,7.0,15.0,14.0,16.0,8.0,12.0,8.0,10.0,16.0,11.0,10.0,13.0,6.0,7.0,13.0,13.0,7.0,17.0,6.0,13.0,5.0,14.0,13.0,8.0,13.0,11.0,6.0,9.0,12.0,16.0,6.0,5.0,12.0,9.0,6.0,13.0,9.0,12.0,12.0,11.0,7.0,15.0,11.0,11.0,10.0,8.0,7.0,7.0,7.0
ep93,6.0,10.0,10.0,9.0,11.0,11.0,7.0,11.0,12.0,14.0,14.0,5.0,6.0,9.0,15.0,7.0,12.0,7.0,5.0,10.0,7.0,10.0,7.0,9.0,12.0,7.0,10.0,17.0,12.0,9.0,7.0,11.0,13.0,13.0,10.0,10.0,17.0,9.0,9.0,7.0,8.0,7.0,10.0,9.0,10.0,12.0,5.0,10.0,22.0,14.0
ep94,7.0,10.0,9.0,14.0,14.0,14.0,7.0,5.0,13.0,5.0,5.0,5.0,14.0,11.0,13.0,7.0,9.0,11.0,11.0,9.0,13.0,15.0,13.0,12.0,7.0,6.0,14.0,5.0,5.0,6.0,11.0,12.0,12.0,10.0,12.0,8.0,9.0,15.0,5.0,7.0,5.0,8.0,19.0,14.0,5.0,8.0,8.0,11.0,14.0,9.0
ep95,11.0,9.0,6.0,9.0,7.0,10.0,9.0,13.0,9.0,8.0,8.0,6.0,11.0,17.0,10.0,11.0,9.0,6.0,6.0,11.0,7.0,12.0,11.0,7.0,13.0,14.0,11.0,14.0,12.0,7.0,11.0,6.0,11.0,11.0,13.0,5.0,13.0,16.0,10.0,7.0,11.0,14.0,6.0,14.0,13.0,11.0,12.0,7.0,12.0,10.0
ep96,11.0,10.0,16.0,11.0,7.0,11.0,10.0,21.0,13.0,5.0,11.0,11.0,11.0,12.0,5.0,7.0,13.0,11.0,10.0,12.0,12.0,16.0,9.0,8.0,16.0,14.0,11.0,18.0,12.0,7.0,5.0,9.0,13.0,9.0,11.0,15.0,12.0,7.0,9.0,5.0,15.0,20.0,9.0,11.0,8.0,11.0,9.0,9.0,11.0,6.0
ep97,11.0,7.0,11.0,8.0,8.0,9.0,13.0,11.0,5.0,8.0,5.0,16.0,16.0,5.0,10.0,11.0,11.0,12.0,11.0,5.0,12.0,11.0,14.0,8.0,11.0,11.0,6.0,10.0,11.0,12.0,9.0,9.0,12.0,7.0,7.0,10.0,11.0,12.0,8.0,7.0,9.0,11.0,8.0,11.0,10.0,5.0,9.0,7.0,15.0,5.0
ep98,7.0,7.0,7.0,9.0,7.0,7.0,7.0,5.0,9.0,8.0,10.0,6.0,7.0,15.0,9.0,17.0,12.0,16.0,10.0,11.0,7.0,12.0,11.0,13.0,11.0,5.0,9.0,13.0,12.0,9.0,7.0,9.0,11.0,11.0,9.0,10.0,12.0,9.0,13.0,9.0,9.0,5.0,5.0,7.0,7.0,7.0,11.0,11.0,5.0,5.0
ep99,5.0,7.0,12.0,6.0,7.0,12.0,7.0,8.0,13.0,7.0,10.0,13.0,5.0,8.0,5.0,9.0,9.0,6.0,9.0,14.0,11.0,13.0,8.0,11.0,10.0,5.0,5.0,7.0,8.0,11.0,10.0,11.0,8.0,7.0,6.0,14.0,11.0,13.0,13.0,5.0,11.0,6.0,16.0,10.0,15.0,6.0,8.0,12.0,9.0,10.0
ep100,17.0,9.0,15.0,9.0,15.0,5.0,13.0,17.0,9.0,9.0,10.0,9.0,15.0,10.0,10.0,10.0,5.0,8.0,12.0,13.0,17.0,6.0,12.0,12.0,13.0,12.0,7.0,6.0,13.0,14.0,14.0,8.0,7.0,8.0,14.0,13.0,13.0,9.0,9.0,7.0,16.0,10.0,10.0,17.0,12.0,7.0,8.0,11.0,7.0,11.0
ep101,7.0,13.0,6.0,7.0,9.0,14.0,6.0,10.0,8.0,6.0,5.0,8.0,15.0,16.0,15.0,14.0,5.0,5.0,10.0,9.0,7.0,9.0,10.0,7.0,5.0,16.0,14.0,7.0,5.0,13.0,9.0,16.0,9.0,11.0,9.0,9.0,6.0,5.0,21.0,12.0,7.0,15.0,14.0,10.0,15.0,11.0,19.0,9.0,7.0,8.0
ep102,5.0,16.0,11.0,11.0,9.0,9.0,9.0,5.0,13.0,18.0,17.0,7.0,15.0,10.0,5.0,6.0,10.0,10.0,8.0,7.0,9.0,7.0,7.0,10.0,14.0,5.0,18.0,12.0,8.0,11.0,8.0,11.0,8.0,7.0,22.0,9.0,7.0,7.0,14.0,7.0,8.0,9.0,12.0,9.0,10.0,15.0,7.0,10.0,5.0,12.0
ep103,7.0,7.0,6.0,14.0,7.0,7.0,5.0,7.0,11.0,11.0,13.0,11.0,6.0,16.0,7.0,7.0,12.0,8.0,6.0,8.0,8.0,14.0,5.0,9.0,7.0,9.0,10.0,13.0,8.0,10.0,11.0,9.0,12.0,10.0,9.0,7.0,7.0,9.0,13.0,9.0,11.0,10.0,13.0,8.0,11.0,13.0,10.0,11.0,12.0,9.0
ep104,8.0,11.0,6.0,15.0,9.0,9.0,9.0,11.0,7.0,13.0,11.0,10.0,8.0,6.0,13.0,11.0,7.0,8.0,9.0,10.0,12.0,10.0,17.0,13.0,11.0,11.0,10.0,7.0,11.0,13.0,6.0,17.0,5.0,10.0,12.0,7.0,7.0,10.0,6.0,10.0,10.0,9.0,14.0,8.0,10.0,11.0,8.0,10.0,11.0,9.0
ep105,8.0,12.0,13.0,7.0,7.0,5.0,9.0,10.0,7.0,13.0,8.0,9.0,10.0,10.0,8.0,9.0,11.0,9.0,7.0,10.0,12.0,10.0,5.0,9.0,8.0,17.0,5.0,6.0,7.0,6.0,14.0,9.0,7.0,8.0,16.0,9.0,8.0,8.0,8.0,16.0,16.0,10.0,5.0,6.0,13.0,11.0,5.0,15.0,6.0,6.0
ep106,10.0,11.0,9.0,6.0,9.0,12.0,9.0,11.0,14.0,7.0,17.0,13.0,12.0,7.0,8.0,13.0,5.0,13.0,5.0,11.0,9.0,8.0,10.0,12.0,17.0,9.0,15.0,12.0,12.0,5.0,15.0,11.0,10.0,14.0,6.0,8.0,11.0,21.0,7.0,11.0,7.0,8.0,12.0,6.0,8.0,11.0,13.0,8.0,17.0,19.0
ep107,9.0,7.0,5.0,11.0,8.0,9.0,7.0,8.0,8.0,11.0,9.0,5.0,18.0,12.0,14.0,11.0,13.0,11.0,10.0,13.0,8.0,9.0,11.0,10.0,7.0,5.0,15.0,6.0,9.0,9.0,9.0,15.0,8.0,12.0,10.0,11.0,14.0,6.0,10.0,9.0,8.0,12.0,6.0,9.0,9.0,5.0,9.0,11.0,5.0,17.0
ep108,8.0,7.0,10.0,11.0,11.0,7.0,7.0,8.0,13.0,12.0,15.0,15.0,12.0,5.0,9.0,16.0,16.0,9.0,5.0,10.0,6.0,11.0,5.0,14.0,5.0,14.0,7.0,8.0,12.0,12.0,5.0,8.0,14.0,7.0,10.0,15.0,5.0,13.0,6.0,11.0,12.0,16.0,8.0,7.0,16.0,6.0,13.0,16.0,12.0,7.0
ep109,21.0,12.0,15.0,10.0,6.0,16.0,15.0,11.0,7.0,6.0,14.0,11.0,9.0,14.0,7.0,7.0,7.0,16.0,8.0,5.0,5.0,5.0,11.0,9.0,10.0,8.0,12.0,13.0,12.0,11.0,9.0,20.0,11.0,9.0,10.0,9.0,6.0,13.0,7.0,5.0,12.0,11.0,13.0,10.0,11.0,8.0,7.0,10.0,7.0,7.0
ep110,10.0,8.0,8.0,11.0,8.0,10.0,5.0,15.0,9.0,11.0,5.0,11.0,7.0,7.0,13.0,7.0,6.0,15.0,16.0,5.0,8.0,13.0,9.0,8.0,13.0,10.0,14.0,19.0,11.0,10.0,7.0,12.0,11.0,8.0,10.0,9.0,7.0,12.0,11.0,14.0,9.0,7.0,13.0,12.0,8.0,11.0,5.0,9.0,9.0,10.0
ep111,7.0,12.0,9.0,11.0,7.0,13.0,7.0,8.0,15.0,11.0,11.0,18.0,11.0,6.0,5.0,6.0,8.0,9.0,9.0,10.0,13.0,7.0,9.0,11.0,8.0,5.0,7.0,11.0,10.0,14.0,6.0,13.0,9.0,14.0,15.0,7.0,13.0,13.0,13.0,8.0,16.0,13.0,11.0,13.0,7.0,12.0,11.0,16.0,5.0,10.0
ep112,5.0,11.0,9.0,11.0,7.0,13.0,11.0,7.0,11.0,8.0,8.0,17.0,9.0,6.0,8.0,9.0,11.0,13.0,8.0,11.0,10.0,13.0,6.0,5.0,8.0,16.0,9.0,16.0,7.0,13.0,12.0,10.0,12.0,11.0,10.0,8.0,11.0,7.0,12.0,11.0,10.0,6.0,5.0,8.0,10.0,5.0,8.0,14.0,10.0,9.0
ep113,6.0,10.0,5.0,6.0,11.0,7.0,13.0,7.0,18.0,17.0,7.0,15.0,8.0,9.0,5.0,10.0,13.0,5.0,17.0,8.0,7.0,5.0,9.0,8.0,7.0,11.0,10.0,12.0,9.0,11.0,10.0,9.0,15.0,9.0,9.0,11.0,11.0,11.0,12.0,8.0,9.0,6.0,5.0,11.0,5.0,8.0,9.0,12.0,8.0,6.0
ep114,16.0,10.0,13.0,12.0,7.0,17.0,11.0,11.0,7.0,8.0,11.0,10.0,11.0,11.0,15.0,9.0,13.0,6.0,12.0,9.0,12.0,10.0,11.0,10.0,7.0,8.0,7.0,7.0,7.0,7.0,10.0,13.0,14.0,18.0,15.0,11.0,7.0,8.0,5.0,14.0,12.0,7.0,18.0,7.0,11.0,14.0,7.0,5.0,12.0,6.0
ep115,18.0,5.0,9.0,15.0,12.0,7.0,9.0,12.0,16.0,11.0,13.0,9.0,13.0,13.0,8.0,9.0,9.0,17.0,18.0,15.0,8.0,7.0,9.0,5.0,7.0,8.0,9.0,8.0,12.0,10.0,12.0,11.0,5.0,16.0,7.0,11.0,11.0,7.0,5.0,13.0,15.0,12.0,11.0,13.0,10.0,8.0,11.0,10.0,12.0,10.0
ep116,15.0,9.0,7.0,16.0,7.0,9.0,13.0,14.0,10.0,17.0,9.0,9.0,10.0,5.0,11.0,14.0,5.0,14.0,11.0,9.0,5.0,11.0,15.0,11.0,16.0,7.0,11.0,5.0,9.0,9.0,11.0,14.0,9.0,9.0,9.0,11.0,6.0,10.0,16.0,6.0,17.0,11.0,5.0,17.0,9.0,11.0,8.0,11.0,9.0,11.0
ep117,10.0,7.0,13.0,8.0,6.0,15.0,5.0,8.0,7.0,9.0,7.0,5.0,13.0,8.0,7.0,10.0,7.0,16.0,8.0,6.0,12.0,9.0,10.0,13.0,6.0,5.0,11.0,11.0,20.0,9.0,9.0,5.0,19.0,5.0,13.0,7.0,12.0,10.0,10.0,13.0,13.0,11.0,10.0,9.0,6.0,5.0,9.0,5.0,8.0,5.0
ep118,9.0,7.0,19.0,7.0,9.0,5.0,13.0,12.0,8.0,11.0,10.0,18.0,6.0,10.0,9.0,12.0,8.0,13.0,6.0,9.0,5.0,14.0,8.0,14.0,9.0,11.0,12.0,13.0,6.0,15.0,5.0,9.0,5.0,6.0,11.0,5.0,14.0,17.0,12.0,7.0,8.0,8.0,10.0,11.0,6.0,7.0,7.0,14.0,10.0,9.0
ep119,11.0,11.0,10.0,13.0,13.0,10.0,8.0,5.0,16.0,6.0,15.0,14.0,5.0,10.0,5.0,6.0,9.0,11.0,17.0,7.0,16.0,14.0,5.0,13.0,10.0,13.0,10.0,12.0,8.0,11.0,14.0,5.0,5.0,11.0,10.0,10.0,7.0,6.0,5.0,7.0,6.0,10.0,5.0,5.0,9.0,13.0,5.0,7.0,11.0,8.0
ep120,11.0,12.0,12.0,13.0,12.0,7.0,8.0,7.0,11.0,8.0,7.0,13.0,10.0,17.0,15.0,17.0,5.0,5.0,5.0,16.0,15.0,7.0,5.0,10.0,13.0,8.0,9.0,6.0,12.0,5.0,12.0,9.0,14.0,9.0,10.0,10.0,7.0,11.0,14.0,8.0,12.0,11.0,9.0,10.0,8.0,10.0,13.0,13.0,15.0,7.0
ep121,13.0,10.0,8.0,11.0,10.0,10.0,14.0,9.0,10.0,6.0,16.0,11.0,16.0,12.0,7.0,7.0,15.0,7.0,7.0,10.0,10.0,7.0,9.0,9.0,9.0,14.0,10.0,9.0,13.0,9.0,9.0,10.0,10.0,12.0,5.0,9.0,9.0,14.0,10.0,5.0,13.0,11.0,14.0,13.0,11.0,14.0,7.0,11.0,9.0,10.0
ep122,7.0,7.0,10.0,10.0,12.0,13.0,7.0,9.0,15.0,5.0,8.0,8.0,8.0,10.0,17.0,11.0,19.0,5.0,6.0,8.0,11.0,13.0,9.0,14.0,8.0,11.0,6.0,14.0,12.0,16.0,5.0,16.0,13.0,9.0,8.0,9.0,12.0,9.0,7.0,8.0,8.0,5.0,8.0,9.0,9.0,9.0,5.0,9.0,6.0,5.0
ep123,7.0,8.0,13.0,8.0,7.0,10.0,14.0,7.0,7.0,9.0,7.0,9.0,11.0,12.0,8.0,8.0,8.0,12.0,7.0,10.0,13.0,12.0,8.0,9.0,8.0,11.0,12.0,5.0,12.0,7.0,9.0,13.0,7.0,10.0,17.0,11.0,9.0,8.0,12.0,9.0,5.0,12.0,20.0,8.0,14.0,10.0,10.0,7.0,7.0,18.0
ep124,6.0,11.0,5.0,12.0,14.0,11.0,5.0,12.0,8.0,7.0,13.0,5.0,11.0,11.0,14.0,5.0,13.0,12.0,8.0,7.0,14.0,11.0,9.0,9.0,7.0,12.0,6.0,5.0,5.0,9.0,11.0,9.0,8.0,6.0,16.0,12.0,18.0,11.0,9.0,11.0,8.0,5.0,10.0,8.0,6.0,9.0,7.0,5.0,15.0,10.0
ep125,12.0,7.0,11.0,14.0,13.0,5.0,15.0,10.0,11.0,12.0,15.0,8.0,14.0,11.0,10.0,11.0,12.0,9.0,9.0,8.0,6.0,10.0,7.0,8.0,8.0,5.0,10.0,11.0,12.0,8.0,16.0,5.0,11.0,7.0,16.0,7.0,10.0,13.0,18.0,13.0,8.0,11.0,12.0,8.0,13.0,16.0,12.0,9.0,21.0,6.0
ep126,14.0,10.0,11.0,12.0,8.0,15.0,17.0,5.0,11.0,12.0,12.0,12.0,18.0,9.0,12.0,13.0,11.0,13.0,12.0,10.0,12.0,18.0,15.0,7.0,7.0,6.0,18.0,5.0,9.0,9.0,7.0,7.0,10.0,6.0,13.0,14.0,5.0,12.0,5.0,15.0,16.0,13.0,5.0,11.0,9.0,7.0,13.0,13.0,9.0,5.0
ep127,16.0,11.0,12.0,13.0,8.0,9.0,8.0,15.0,14.0,11.0,12.0,14.0,7.0,9.0,9.0,12.0,12.0,9.0,7.0,12.0,8.0,9.0,10.0,9.0,8.0,9.0,7.0,13.0,11.0,12.0,11.0,12.0,11.0,20.0,11.0,13.0,10.0,13.0,9.0,7.0,5.0,9.0,5.0,11.0,5.0,7.0,7.0,18.0,17.0,8.0
ep128,8.0,7.0,6.0,10.0,8.0,19.0,12.0,8.0,10.0,9.0,16.0,13.0,11.0,10.0,12.0,5.0,6.0,10.0,7.0,9.0,9.0,14.0,18.0,9.0,11.0,8.0,10.0,7.0,7.0,9.0,13.0,5.0,17.0,6.0,9.0,10.0,12.0,7.0,13.0,10.0,10.0,9.0,19.0,13.0,12.0,12.0,7.0,11.0,7.0,13.0
ep129,6.0,11.0,9.0,14.0,11.0,12.0,9.0,19.0,17.0,8.0,5.0,11.0,5.0,15.0,11.0,8.0,7.0,18.0,11.0,23.0,9.0,8.0,9.0,9.0,5.0,12.0,14.0,5.0,12.0,17.0,10.0,17.0,13.0,9.0,12.0,10.0,9.0,10.0,7.0,13.0,10.0,8.0,10.0,5.0,6.0,5.0,11.0,20.0,10.0,7.0
ep130,11.0,5.0,15.0,7.0,9.0,15.0,9.0,6.0,14.0,14.0,9.0,7.0,10.0,16.0,13.0,13.0,8.0,8.0,8.0,19.0,7.0,5.0,11.0,8.0,7.0,9.0,5.0,7.0,13.0,8.0,11.0,7.0,13.0,8.0,6.0,9.0,9.0,5.0,13.0,13.0,11.0,11.0,8.0,17.0,8.0,7.0,12.0,9.0,9.0,9.0
ep131,11.0,11.0,16.0,6.0,9.0,9.0,16.0,8.0,12.0,13.0,10.0,8.0,5.0,9.0,7.0,10.0,15.0,11.0,9.0,13.0,8.0,16.0,11.0,12.0,11.0,7.0,5.0,10.0,5.0,11.0,7.0,9.0,5.0,13.0,6.0,7.0,14.0,7.0,8.0,10.0,9.0,6.0,7.0,10.0,9.0,10.0,7.0,16.0,5.0,14.0
ep132,6.0,7.0,9.0,6.0,17.0,7.0,13.0,7.0,7.0,10.0,10.0,10.0,15.0,16.0,12.0,5.0,11.0,7.0,11.0,13.0,7.0,16.0,5.0,13.0,17.0,7.0,9.0,6.0,10.0,5.0,7.0,10.0,13.0,11.0,9.0,9.0,11.0,9.0,11.0,10.0,7.0,12.0,9.0,5.0,14.0,7.0,11.0,15.0,10.0,11.0
ep133,12.0,19.0,7.0,10.0,6.0,14.0,6.0,5.0,10.0,10.0,9.0,11.0,9.0,7.0,5.0,6.0,8.0,10.0,9.0,8.0,15.0,14.0,11.0,6.0,13.0,12.0,15.0,8.0,8.0,5.0,6.0,5.0,6.0,15.0,5.0,12.0,5.0,8.0,11.0,9.0,15.0,13.0,7.0,11.0,6.0,5.0,9.0,10.0,9.0,8.0
