,agent1
ep1,15.0
ep2,16.0
ep3,15.0
ep4,14.0
ep5,9.0
ep6,14.0
ep7,16.0
ep8,15.0
ep9,16.0
ep10,16.0
ep11,15.0
ep12,16.0
ep13,16.0
ep14,16.0
ep15,16.0
ep16,11.0
ep17,16.0
ep18,9.0
ep19,16.0
ep20,16.0
ep21,15.0
ep22,15.0
ep23,15.0
ep24,12.0
ep25,16.0
ep26,16.0
ep27,13.0
ep28,16.0
ep29,16.0
ep30,16.0
ep31,16.0
ep32,16.0
ep33,16.0
ep34,16.0
ep35,14.0
ep36,16.0
ep37,16.0
ep38,16.0
ep39,14.0
ep40,16.0
ep41,16.0
ep42,16.0
ep43,14.0
ep44,15.0
ep45,12.0
ep46,14.0
ep47,16.0
ep48,16.0
ep49,16.0
ep50,15.0
ep51,16.0
ep52,16.0
ep53,16.0
ep54,16.0
ep55,14.0
ep56,7.0
ep57,16.0
ep58,16.0
ep59,16.0
ep60,16.0
ep61,16.0
ep62,10.0
ep63,16.0
ep64,16.0
ep65,16.0
ep66,15.0
ep67,14.0
ep68,13.0
ep69,16.0
ep70,16.0
ep71,16.0
ep72,16.0
ep73,13.0
ep74,14.0
ep75,14.0
ep76,16.0
ep77,16.0
ep78,11.0
ep79,13.0
ep80,9.0
ep81,7.0
ep82,16.0
ep83,16.0
ep84,14.0
ep85,7.0
ep86,11.0
ep87,15.0
ep88,16.0
ep89,9.0
ep90,13.0
ep91,16.0
ep92,16.0
ep93,11.0
ep94,11.0
ep95,14.0
ep96,14.0
ep97,16.0
ep98,11.0
ep99,15.0
ep100,16.0
ep101,9.0
ep102,15.0
ep103,16.0
ep104,16.0
ep105,15.0
ep106,16.0
ep107,16.0
ep108,16.0
ep109,16.0
ep110,13.0
ep111,10.0
ep112,16.0
ep113,15.0
ep114,16.0
ep115,14.0
ep116,13.0
ep117,16.0
ep118,12.0
ep119,12.0
ep120,13.0
ep121,16.0
ep122,16.0
ep123,16.0
ep124,16.0
ep125,16.0
ep126,14.0
ep127,12.0
ep128,13.0
ep129,16.0
ep130,16.0
ep131,16.0
ep132,14.0
ep133,15.0
ep134,15.0
ep135,16.0
ep136,16.0
ep137,16.0
ep138,16.0
ep139,16.0
ep140,16.0
ep141,9.0
ep142,16.0
ep143,16.0
ep144,15.0
ep145,16.0
ep146,15.0
ep147,13.0
ep148,11.0
ep149,16.0
ep150,16.0
ep151,16.0
ep152,16.0
ep153,16.0
ep154,16.0
ep155,10.0
ep156,14.0
ep157,11.0
ep158,16.0
ep159,16.0
ep160,16.0
ep161,15.0
ep162,16.0
ep163,15.0
ep164,14.0
