,agent1
ep1,0.0
ep2,1.0
ep3,1.0
ep4,0.0
ep5,0.0
ep6,1.0
ep7,0.0
ep8,0.0
ep9,0.0
ep10,0.0
ep11,0.0
ep12,0.0
ep13,0.0
ep14,0.0
ep15,1.0
ep16,0.0
ep17,1.0
ep18,0.0
ep19,1.0
ep20,0.0
ep21,0.0
ep22,0.0
ep23,1.0
ep24,1.0
ep25,0.0
ep26,1.0
ep27,1.0
ep28,1.0
ep29,1.0
ep30,1.0
ep31,0.0
ep32,1.0
ep33,0.0
ep34,1.0
ep35,0.0
ep36,0.0
ep37,1.0
ep38,1.0
ep39,0.0
ep40,0.0
ep41,1.0
ep42,0.0
ep43,1.0
ep44,0.0
ep45,0.0
ep46,1.0
ep47,1.0
ep48,1.0
ep49,1.0
ep50,1.0
ep51,0.0
ep52,0.0
ep53,1.0
ep54,1.0
ep55,0.0
ep56,0.0
ep57,0.0
ep58,1.0
ep59,1.0
ep60,0.0
ep61,0.0
ep62,0.0
ep63,1.0
ep64,1.0
ep65,0.0
ep66,1.0
ep67,0.0
ep68,0.0
ep69,0.0
ep70,0.0
ep71,0.0
ep72,1.0
ep73,0.0
ep74,0.0
ep75,1.0
ep76,1.0
ep77,0.0
ep78,0.0
ep79,1.0
ep80,0.0
ep81,1.0
ep82,1.0
ep83,1.0
ep84,1.0
ep85,1.0
ep86,0.0
ep87,0.0
ep88,0.0
ep89,1.0
ep90,0.0
ep91,1.0
ep92,0.0
ep93,0.0
ep94,1.0
ep95,0.0
ep96,1.0
ep97,0.0
ep98,0.0
ep99,1.0
ep100,0.0
ep101,0.0
ep102,1.0
ep103,0.0
ep104,1.0
ep105,1.0
ep106,0.0
ep107,1.0
ep108,1.0
ep109,0.0
ep110,0.0
ep111,1.0
ep112,0.0
ep113,1.0
ep114,0.0
ep115,1.0
ep116,1.0
ep117,0.0
ep118,0.0
ep119,1.0
ep120,1.0
ep121,0.0
ep122,0.0
ep123,0.0
ep124,0.0
ep125,0.0
ep126,1.0
ep127,0.0
ep128,1.0
ep129,0.0
ep130,1.0
ep131,0.0
ep132,1.0
ep133,1.0
ep134,0.0
ep135,1.0
ep136,1.0
ep137,1.0
ep138,0.0
ep139,0.0
ep140,0.0
ep141,1.0
ep142,0.0
ep143,0.0
ep144,1.0
ep145,1.0
ep146,0.0
ep147,0.0
ep148,1.0
ep149,0.0
ep150,0.0
ep151,0.0
ep152,0.0
ep153,0.0
ep154,0.0
ep155,0.0
ep156,1.0
ep157,0.0
ep158,1.0
ep159,1.0
ep160,0.0
ep161,0.0
ep162,1.0
ep163,0.0
ep164,1.0
ep165,1.0
ep166,0.0
ep167,1.0
ep168,1.0
ep169,0.0
ep170,0.0
ep171,0.0
ep172,0.0
ep173,1.0
ep174,0.0
ep175,0.0
ep176,0.0
ep177,0.0
ep178,1.0
ep179,0.0
ep180,0.0
ep181,0.0
ep182,0.0
ep183,1.0
ep184,1.0
ep185,0.0
ep186,0.0
ep187,1.0
ep188,0.0
ep189,0.0
ep190,1.0
ep191,0.0
ep192,0.0
ep193,1.0
ep194,1.0
ep195,0.0
ep196,0.0
ep197,1.0
ep198,1.0
ep199,1.0
ep200,1.0
ep201,0.0
ep202,1.0
ep203,0.0
ep204,0.0
ep205,1.0
ep206,1.0
ep207,1.0
ep208,0.0
ep209,0.0
ep210,1.0
ep211,0.0
ep212,0.0
ep213,0.0
ep214,0.0
ep215,1.0
ep216,1.0
ep217,0.0
ep218,0.0
ep219,1.0
ep220,1.0
ep221,1.0
ep222,1.0
ep223,0.0
ep224,0.0
ep225,0.0
ep226,1.0
ep227,1.0
ep228,0.0
ep229,1.0
ep230,0.0
ep231,1.0
ep232,1.0
ep233,0.0
ep234,1.0
ep235,1.0
ep236,0.0
ep237,0.0
ep238,1.0
ep239,0.0
ep240,0.0
ep241,1.0
ep242,0.0
ep243,0.0
ep244,0.0
ep245,0.0
ep246,0.0
ep247,1.0
ep248,1.0
ep249,0.0
ep250,1.0
ep251,0.0
ep252,1.0
ep253,0.0
ep254,1.0
ep255,0.0
ep256,0.0
ep257,1.0
ep258,1.0
ep259,0.0
ep260,1.0
ep261,1.0
ep262,1.0
ep263,0.0
ep264,0.0
ep265,1.0
ep266,0.0
ep267,1.0
ep268,1.0
ep269,0.0
ep270,1.0
ep271,1.0
ep272,1.0
ep273,1.0
ep274,1.0
ep275,0.0
ep276,0.0
ep277,1.0
ep278,0.0
ep279,0.0
ep280,0.0
ep281,1.0
ep282,1.0
ep283,1.0
ep284,0.0
ep285,0.0
ep286,1.0
ep287,1.0
ep288,0.0
ep289,0.0
ep290,1.0
ep291,0.0
ep292,1.0
ep293,1.0
ep294,1.0
ep295,1.0
ep296,0.0
ep297,1.0
ep298,0.0
ep299,1.0
ep300,0.0
ep301,1.0
ep302,1.0
ep303,0.0
ep304,0.0
ep305,1.0
ep306,1.0
ep307,0.0
ep308,1.0
ep309,0.0
ep310,0.0
ep311,1.0
ep312,1.0
ep313,0.0
ep314,0.0
ep315,0.0
ep316,0.0
ep317,1.0
ep318,0.0
ep319,0.0
ep320,1.0
ep321,0.0
ep322,0.0
ep323,1.0
ep324,1.0
ep325,1.0
ep326,0.0
ep327,1.0
ep328,1.0
ep329,1.0
ep330,0.0
ep331,1.0
ep332,1.0
ep333,0.0
ep334,0.0
ep335,1.0
ep336,1.0
ep337,0.0
ep338,0.0
ep339,0.0
ep340,0.0
ep341,0.0
ep342,0.0
ep343,1.0
ep344,0.0
ep345,1.0
ep346,0.0
ep347,0.0
ep348,0.0
ep349,1.0
ep350,0.0
ep351,0.0
ep352,0.0
ep353,0.0
ep354,1.0
ep355,1.0
ep356,1.0
ep357,1.0
ep358,0.0
ep359,1.0
ep360,0.0
ep361,0.0
ep362,1.0
ep363,0.0
ep364,1.0
ep365,0.0
ep366,0.0
ep367,0.0
ep368,0.0
ep369,1.0
ep370,0.0
ep371,1.0
ep372,0.0
ep373,0.0
ep374,0.0
ep375,1.0
ep376,0.0
ep377,1.0
ep378,1.0
ep379,0.0
ep380,0.0
ep381,1.0
ep382,1.0
ep383,0.0
ep384,0.0
ep385,0.0
ep386,0.0
ep387,1.0
ep388,0.0
ep389,1.0
ep390,0.0
ep391,1.0
ep392,1.0
ep393,0.0
ep394,0.0
ep395,1.0
ep396,0.0
ep397,1.0
ep398,0.0
ep399,0.0
ep400,0.0
ep401,0.0
ep402,1.0
ep403,0.0
ep404,0.0
ep405,1.0
ep406,1.0
ep407,0.0
ep408,0.0
ep409,1.0
ep410,0.0
ep411,1.0
ep412,0.0
ep413,0.0
ep414,0.0
ep415,0.0
ep416,1.0
ep417,1.0
ep418,0.0
ep419,1.0
ep420,0.0
ep421,0.0
ep422,1.0
ep423,1.0
ep424,1.0
ep425,1.0
ep426,0.0
ep427,1.0
ep428,1.0
ep429,0.0
ep430,1.0
ep431,0.0
ep432,1.0
ep433,1.0
ep434,0.0
ep435,0.0
ep436,0.0
ep437,0.0
ep438,1.0
ep439,0.0
ep440,1.0
ep441,1.0
ep442,0.0
ep443,0.0
ep444,1.0
ep445,0.0
ep446,0.0
ep447,0.0
ep448,1.0
ep449,0.0
ep450,0.0
ep451,1.0
ep452,0.0
ep453,1.0
ep454,1.0
ep455,1.0
ep456,1.0
ep457,0.0
ep458,1.0
ep459,0.0
ep460,1.0
ep461,0.0
ep462,0.0
ep463,1.0
ep464,0.0
ep465,0.0
ep466,0.0
ep467,1.0
ep468,0.0
ep469,0.0
ep470,1.0
ep471,1.0
ep472,1.0
ep473,0.0
ep474,1.0
ep475,1.0
ep476,1.0
ep477,0.0
ep478,1.0
ep479,1.0
ep480,0.0
ep481,1.0
ep482,0.0
ep483,1.0
ep484,1.0
ep485,0.0
ep486,1.0
ep487,1.0
ep488,1.0
ep489,1.0
ep490,0.0
ep491,1.0
ep492,0.0
ep493,1.0
ep494,1.0
ep495,0.0
ep496,1.0
ep497,0.0
ep498,1.0
ep499,0.0
ep500,0.0
ep501,1.0
ep502,0.0
ep503,0.0
ep504,0.0
ep505,0.0
ep506,0.0
ep507,1.0
ep508,0.0
ep509,1.0
ep510,0.0
ep511,1.0
ep512,0.0
ep513,1.0
ep514,1.0
ep515,0.0
ep516,0.0
ep517,0.0
ep518,0.0
ep519,1.0
ep520,0.0
ep521,0.0
ep522,0.0
ep523,0.0
ep524,0.0
ep525,1.0
ep526,1.0
ep527,1.0
ep528,0.0
ep529,1.0
ep530,0.0
ep531,1.0
ep532,1.0
ep533,0.0
ep534,0.0
ep535,0.0
ep536,1.0
ep537,0.0
ep538,0.0
ep539,1.0
ep540,0.0
ep541,0.0
ep542,0.0
ep543,1.0
ep544,1.0
ep545,1.0
ep546,0.0
ep547,0.0
ep548,1.0
ep549,1.0
ep550,1.0
ep551,1.0
ep552,1.0
ep553,1.0
ep554,1.0
ep555,1.0
ep556,1.0
ep557,0.0
ep558,1.0
ep559,1.0
ep560,0.0
ep561,1.0
ep562,0.0
ep563,1.0
ep564,0.0
ep565,0.0
ep566,0.0
ep567,1.0
ep568,1.0
ep569,1.0
ep570,0.0
ep571,1.0
ep572,0.0
ep573,1.0
ep574,0.0
ep575,1.0
ep576,0.0
ep577,0.0
ep578,0.0
ep579,1.0
ep580,1.0
ep581,0.0
ep582,0.0
ep583,0.0
ep584,1.0
ep585,1.0
ep586,1.0
ep587,0.0
ep588,0.0
ep589,1.0
ep590,1.0
ep591,0.0
ep592,0.0
ep593,0.0
ep594,0.0
ep595,0.0
ep596,1.0
ep597,0.0
ep598,1.0
ep599,0.0
ep600,0.0
ep601,0.0
ep602,0.0
ep603,1.0
ep604,1.0
ep605,1.0
ep606,1.0
ep607,1.0
ep608,0.0
ep609,0.0
ep610,0.0
ep611,0.0
ep612,1.0
ep613,0.0
ep614,0.0
ep615,1.0
ep616,1.0
ep617,0.0
ep618,1.0
ep619,1.0
ep620,0.0
ep621,0.0
ep622,0.0
ep623,0.0
ep624,0.0
ep625,1.0
ep626,0.0
ep627,0.0
ep628,1.0
ep629,0.0
ep630,0.0
ep631,1.0
ep632,0.0
ep633,0.0
ep634,0.0
ep635,1.0
ep636,1.0
ep637,1.0
ep638,0.0
ep639,1.0
ep640,0.0
ep641,0.0
ep642,0.0
ep643,0.0
ep644,1.0
ep645,1.0
ep646,0.0
ep647,0.0
ep648,1.0
ep649,0.0
ep650,0.0
ep651,1.0
ep652,1.0
ep653,0.0
ep654,0.0
ep655,1.0
ep656,1.0
ep657,0.0
ep658,0.0
ep659,0.0
ep660,1.0
ep661,0.0
ep662,0.0
ep663,0.0
ep664,0.0
ep665,0.0
ep666,1.0
ep667,1.0
ep668,1.0
ep669,0.0
ep670,1.0
ep671,0.0
ep672,1.0
ep673,1.0
ep674,1.0
ep675,0.0
ep676,0.0
ep677,0.0
ep678,0.0
ep679,1.0
ep680,0.0
ep681,1.0
ep682,1.0
ep683,1.0
